"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","tank5.medium.T_degC","tank6.medium.T_degC","T_pumpB_out.T"
168,25.971502560606666,25.91430509738001,25.918731621805648,25.80299933766338,25.520982664263727,25.02717585463546,25.879263512358648
170,25.975860145905642,25.919521327017662,25.92388106555319,25.80741630805693,25.52458502157714,25.02738967174838,25.882865940395277
172,25.98015120744725,25.92465785091173,25.92895184849266,25.811765791808455,25.528132539500177,25.027603132896104,25.886413527888294
174,25.984376929525013,25.92971611281706,25.933945392812063,25.81604899029577,25.531626201519714,25.027816610273078,25.889907258349865
176,25.988538496434046,25.93469755649045,25.93886312070248,25.820267104898505,25.535066991124438,25.028030476073866,25.89334811529318
178,25.99263709247151,25.939603625691404,25.9437064543568,25.824421336998,25.53845589180395,25.028245102493145,25.896737082232903
180,25.99667390193605,25.944435764182174,25.94847681597122,25.828512887977183,25.541793887048982,25.028460861725023,25.900075142684557
182,26.000647428317563,25.949192038625313,25.95317227111292,25.832540048254202,25.545079116075783,25.02866139221493,25.903360435879335
184,26.00455838789827,25.953873303208354,25.95779365597724,25.83650351101511,25.548312065820085,25.028844144767675,25.906593448776277
186,26.008409215988934,25.958482577633447,25.962343959146153,25.840405836057982,25.55149504706509,25.029017300434077,25.909776492187802
188,26.01220089057216,25.963021045760172,25.966824344488884,25.84424800073674,25.554628824403096,25.029179943540555,25.912910330730256
190,26.015934389631695,25.96748989145027,25.971235975875572,25.8480309824061,25.55771416242709,25.02933115841398,25.915995729020324
192,26.01961069115265,25.971890298567644,25.975580017179198,25.851755758422712,25.560751825731302,25.029470029381002,25.919033451676114
194,26.02323077312127,25.976223450977784,25.979857632274104,25.855423306144246,25.56374257891042,25.02959564076815,25.9220242633167
196,26.026795595430997,25.98049051282868,25.984069966388972,25.859034588486622,25.566687177910296,25.0297073007917,25.924968919910896
198,26.030302364296233,25.984688557472452,25.98821429636297,25.862587572165523,25.569584584261236,25.0298507633658,25.92786638288908
200,26.033754438456242,25.988821363343675,25.992294239579735,25.866085134865614,25.572436700658557,25.02999565489023,25.93071855504877
202,26.037152632089658,25.992889935790288,25.996310791101166,25.869528123193675,25.5752442133915,25.03014308659732,25.933526122697344
204,26.04049775937625,25.996895280161482,26.00026494599166,25.872917383757738,25.578007808749646,25.030294169719753,25.93628977214314
206,26.043790634496474,26.000838401808153,26.00415769931618,25.87625376316663,25.580728173023374,25.03045001549009,25.939010189694784
