"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","T_pumpB_out.T"
304,26.200311390738023,26.193864393022807,25.440161258632145,25.79853918974095
306,26.201348290983617,26.19500804098385,25.440720611728864,25.799098554075897
308,26.202364725098903,26.196129114197163,25.44126892882747,25.799646882190927
310,26.20336110935517,26.197228074137513,25.441806427466474,25.800184391628306
312,26.204337831092914,26.19830534644649,25.44233331722586,25.80071129197279
314,26.205295276390018,26.19936135683662,25.442849803583897,25.80122778870623
316,26.20623382264779,26.20039652146812,25.443356086882375,25.801734082174676
318,26.207153855736067,26.201411267199603,25.443852388954895,25.802230394216394
320,26.208055733627305,26.20240598863853,25.444338896651686,25.80271691168531
322,26.208939812261917,26.20338107868878,25.44481580200744,25.80319382661969
324,26.209806439931924,26.204336921917218,25.44528329351789,25.803661327519535
326,26.210655911374204,26.205273842530744,25.44574153204411,25.804119575248933
328,26.211488587592896,26.206192238756614,25.44619071263952,25.80456876486562
330,26.212304833182714,26.207092513140594,25.446631032211656,25.805009093280887
332,26.213104998155075,26.20797505181946,25.447062680142665,25.80544074988063
334,26.21388935650708,26.2088401566254,25.447485802410654,25.805863880645916
336,26.21465818038604,26.209688127337984,25.44790054393701,25.806278630501026
338,26.215411851133638,26.21051938484169,25.448307111993643,25.806685206722136
340,26.21615069739272,26.21133429157379,25.44870568376092,25.807083786493195
342,26.21687499855119,26.212133155702816,25.449096409546144,25.807474520124572
344,26.21758491603231,26.212916155424693,25.449479375294743,25.807857493563006
346,26.218280842161732,26.21368372334217,25.4498547929324,25.808232918739293
348,26.21896307781543,26.214436191299853,25.45022282449048,25.808600957687077
350,26.2196319177894,26.21517388444107,25.4505836287845,25.80896176922539
352,26.220287455078562,26.215896905535203,25.45093725791918,25.80931540546038
354,26.220930067042957,26.216605670707906,25.451283914369526,25.80966206887092
356,26.221560028474926,26.217300483060455,25.45162374637397,25.810001907698165
358,26.22217761416738,26.217981645694806,25.451956902170593,25.8103350701835
360,26.22278295630332,26.218649304345888,25.452283453087887,25.810661627656714
362,26.223376333354338,26.219303766175756,25.452603549348567,25.8109817303436
364,26.223958021876058,26.219945336230296,25.452917340140914,25.811295527435448
366,26.224528273945396,26.22057429254545,25.453224961452804,25.811603154922977
368,26.22508727963151,26.22119084477646,25.453526515508713,25.811904715032426
370,26.225635231796616,26.221795205659134,25.45382210605402,25.812200311511333
372,26.226172379087245,26.22238764944558,25.454111867207928,25.812490078481744
374,26.226698935725892,26.22296841242695,25.454395914346776,25.812774131322385
376,26.227215109608267,26.223537723901075,25.454674359847047,25.813052582411558
378,26.227721100966562,26.224095804686783,25.45494731268269,25.81332554072594
380,26.22821711103262,26.224642876753762,25.455214881036625,25.813593114450555
382,26.228703334047793,26.22517915434088,25.455477169892276,25.813855408570703
384,26.229179961408988,26.225704848544353,25.45573428265112,25.814112526489907
386,26.229647200476222,26.22622018802582,25.455986330457392,25.8143645793549
388,26.23010522770352,26.22672536740839,25.456233408961623,25.814611662818095
390,26.23055422526619,26.227220587603995,25.45647561647928,25.814853875196718
392,26.230994371465783,26.227706045249477,25.456713049233883,25.815091312716504
394,26.231425840730992,26.22818193270649,25.456945801357563,25.815324069511234
396,26.231848803616856,26.228648438061725,25.457173964890274,25.815552237623024
398,26.232263426805446,26.22910574512656,25.457397629780814,25.81577590700215
400,26.232669873105294,26.22955403343809,25.457616883886033,25.815995165507104
402,26.23306830893881,26.22999348670095,25.457831816902683,25.81621010283709
404,26.233458890960094,26.230424277697068,25.458042513340104,25.81642080350275
406,26.23384176856024,26.230846571110703,25.458249053836482,25.81662734814381
408,26.23421709057419,26.231260531092005,25.458451518679055,25.816829817049552
410,26.234585002093297,26.231666317662814,25.45864998613291,25.81702828848603
412,26.23494564446679,26.232064086716548,25.458844532438718,25.81722283869584
414,26.23529915529963,26.232453990018882,25.459035231814653,25.81741354189859
416,26.235645668454765,26.232836175206955,25.459222156454928,25.81760047029013
418,26.235985329961352,26.233210803354325,25.459405385083585,25.817783702595534
420,26.236318346324936,26.23357810230408,25.459585028921367,25.817963350038212
422,26.23664479154303,26.233938153615043,25.45976112794864,25.818139452599496
424,26.236964793367008,26.23429109819523,25.45993375103029,25.8183120791457
426,26.237278476471204,26.234637073558417,25.460102965365365,25.818481296876598
428,26.237585962451647,26.234976213824837,25.460268836487046,25.8186471713272
430,26.237887369826637,26.235308649720935,25.460431428262893,25.81880976636637
432,26.238182814036634,26.23563450857972,25.460590802894842,25.818969144197354
434,26.23847240744459,26.235953914340314,25.4607470209192,25.819125365357195
436,26.238756313986926,26.236267047771605,25.460900171670062,25.81927851918215
438,26.239034635063206,26.236574020727687,25.46105030967243,25.819428660198128
440,26.239307462428826,26.23687493443225,25.461197484125194,25.819575837605043
