"time","tank1.medium.T_degC","tank.medium.T_degC","tank11.medium.T_degC"
192,26.078388057748896,26.095216221446265,25.383933724564542
194,26.08191553536193,26.098413012257595,25.385660355702214
196,26.08537374323413,26.101547063735836,25.387353143137318
198,26.08876404868289,26.104619615694958,25.389012712955093
200,26.092087727266914,26.107631828355068,25.390639766189395
202,26.0953460837531,26.110584886497747,25.392234900599476
204,26.098540500357387,26.11348002310484,25.39379904977494
206,26.10167220731813,26.116318360362072,25.3953327223698
208,26.10474245172344,26.11910102666053,25.396836561925454
210,26.107752447222026,26.121829112512557,25.398311029461013
212,26.11070336247377,26.124503649080395,25.399756145399067
214,26.11359636818014,26.12712569561046,25.40117254047192
216,26.11643259727117,26.129696265416726,25.402560566091154
218,26.119213166513816,26.132216373823724,25.40392117054722
220,26.12193916537609,26.134687009547463,25.4052552494706
222,26.12461164827488,26.13710911477682,25.406563193759837
224,26.12723164794687,26.139483619531177,25.407845669362416
226,26.129800223657583,26.14181151485974,25.40910289019297
228,26.132318361731393,26.144093693162688,25.410335514555698
230,26.134787034453268,26.146331042746795,25.411544114316087
232,26.137207227829265,26.148524463947467,25.412729110454336
234,26.139579905679454,26.15067483923491,25.413890915465174
236,26.141905987158623,26.15278301633799,25.415030010490398
238,26.14418639965612,26.15484982510128,25.416146828657986
240,26.1464220510789,26.156876079958067,25.417241784130113
242,26.14861382303826,26.158862584778205,25.418315267211767
244,26.150762578338856,26.160810117497988,25.419367699291058
246,26.152869163540174,26.162719439739305,25.42039947820109
248,26.154934409825557,26.16459129763831,25.42141097170105
250,26.156959131136375,26.166426426026135,25.42240255976759
252,26.158944122932837,26.168225539616458,25.423374607706307
254,26.160890162467183,26.169989334081095,25.424327467966066
256,26.162798015791907,26.17171851097288,25.425261589896024
258,26.164668428764287,26.173413746086396,25.426177370567586
260,26.166502129454955,26.17507569788728,25.427075195661416
262,26.168299840814996,26.176705025508852,25.4279554364187
264,26.1700622629873,26.178302367293384,25.428818484298347
266,26.171790082950736,26.17986835025596,25.429664708879557
268,26.17348399151848,26.18140360214528,25.43049432719448
270,26.1751446485452,26.18290872744211,25.431307679583085
272,26.17677269566144,26.18438430547718,25.432105046678487
274,26.1783687819306,26.185830918550607,25.43288672599357
276,26.1799335612032,26.18724916277148,25.43365301939224
278,26.181467575884255,26.188639522796564,25.43440424919237
280,26.18297148085759,26.19000259242074,25.435140712628538
282,26.184445856537025,26.191338896688478,25.435862715031305
284,26.185891299342927,26.192648974825204,25.4365705614386
286,26.187308390580654,26.193933353550676,25.43726453949381
288,26.188697642171803,26.195192499987172,25.437944900777836
290,26.190059649423176,26.19642695260751,25.438611945674268
292,26.191394905565346,26.19763716066035,25.439265897836606
294,26.192703972578045,26.19882363392884,25.43990703658386
296,26.193987370090838,26.199986843639124,25.44053560532501
298,26.19524559293467,26.201127238059428,25.441151825952886
300,26.196479150504558,26.202245278843918,25.441755938557378
302,26.197688510385944,26.203341387747912,25.442348191392796
304,26.198874146276296,26.204415992882275,25.442928809999273
306,26.200036522937523,26.205469515655125,25.4434980310495
308,26.201176091655213,26.206502364661844,25.444056086959506
310,26.20229329458067,26.207514940450153,25.44460320577872
312,26.203388573917948,26.208507645741008,25.445139614092056
314,26.20446235437811,26.20948086616187,25.445665537212165
316,26.20551505896043,26.210434985373638,25.446181148658354
318,26.20654709943568,26.211370378084155,25.446686649446576
320,26.20755888272646,26.212287413319984,25.447182219260128
322,26.208550809271685,26.213186453622654,25.447668027166117
324,26.209523269648287,26.214067853034123,25.448144243876243
326,26.210476644110088,26.214931953058056,25.448611092843578
328,26.21141130791301,26.215779092203263,25.449068747318904
330,26.212327617282142,26.21660959226375,25.449517430811568
332,26.213225943595432,26.217423788404915,25.44995734498599
334,26.214106638878263,26.218222001118136,25.45038866215674
336,26.21497002850373,26.219004530961854,25.45081152585061
338,26.215816476144084,26.219771706760923,25.451226129417876
340,26.21664629684045,26.220523814407045,25.451632581185265
342,26.21745984093826,26.22126117274985,25.452031056735734
344,26.218257416748145,26.22198406036381,25.452421698243427
346,26.219039333363583,26.22269275657851,25.452804648233553
348,26.2198059143073,26.223387554667795,25.453180061262117
350,26.220557440696496,26.224068706980745,25.45354809473855
352,26.221294232627145,26.224736503475754,25.453908897805547
354,26.222016556818573,26.22539118582796,25.454262620089878
356,26.222724708834278,26.22603302130989,25.454609412621664
358,26.22341897486052,26.226662269480414,25.45494941946714
360,26.224099621187122,26.227279173225213,25.455282773203237
362,26.224766924628113,26.227883984007747,25.455609613096783
364,26.225421133540692,26.228476927111785,25.455930046323886
366,26.226062503435003,26.229058235344667,25.456244192549036
368,26.226691290963515,26.22962814143324,25.456552171524493
370,26.22730774935468,26.23018687484324,25.45685409991114
372,26.227912117731705,26.230734652142644,25.45715008562314
374,26.228504620851993,26.23127167420688,25.457440243012286
