"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","tank5.medium.T_degC","tank6.medium.T_degC"
274,26.103245305532425,26.085933919074193,26.0902174206106,26.03312179557662,25.45641278771592,25.257629907545322
276,26.105227578988377,26.088166958958084,26.092376040018223,26.035491625901784,25.45743843731276,25.259550404795903
278,26.107181504162384,26.090367659519018,26.094503507983234,26.03782805090526,25.458449089767498,25.261461775427335
280,26.109107509903026,26.09253653204786,26.096600316669026,26.040131587548842,25.459444964811098,25.2633639364239
282,26.111006009479695,26.094674078060677,26.098666947874847,26.04240261121771,25.460426300038137,25.265256802717147
284,26.112877391204677,26.096780789379807,26.10070387094123,26.044641065676217,25.46139340654105,25.267140286771735
286,26.114722053888784,26.098857147827232,26.102711550668857,26.046847559597552,25.462346458584136,25.269014300157494
288,26.116540375612033,26.10090362549471,26.104690440343063,26.04902240076416,25.463285678854106,25.27087875216415
290,26.118332722472076,26.102920684668277,26.106640983688465,26.051165866596023,25.464211286569196,25.272733550189685
292,26.12009955122329,26.10490878515526,26.10856361593102,26.053279050485855,25.46512351642008,25.274578809816887
294,26.12184134603791,26.106868379770674,26.11045876314273,26.055363340341444,25.466022606899003,25.2764147253784
296,26.12355841298057,26.10879989966287,26.112326840115713,26.057418723907347,25.466908762377386,25.278241149302573
298,26.125251132056235,26.110703772308682,26.114168252969932,26.05944586705533,25.467782199612714,25.280058107986804
300,26.126920011116056,26.11258045746098,26.115983455456274,26.06144481432017,25.468643070345763,25.281865476225278
302,26.12856544738571,26.114430372592608,26.11777284657859,26.06341614819388,25.469491573853304,25.28366327038094
304,26.130187838373956,26.116253927571222,26.119536818207223,26.065360449964885,25.470327904602584,25.285451512038264
306,26.131787577680768,26.118051537068993,26.12127577136863,26.067278136833522,25.471152241375478,25.287230186739237
308,26.133364926539173,26.11982364607212,26.122990147681605,26.069169209243853,25.47196474637741,25.288999179742916
310,26.13492030904689,26.121570647031547,26.12468032517569,26.071034155098175,25.47276558997686,25.290758505608153
312,26.13645408351789,26.123292944027583,26.126346698976533,26.072873249471456,25.473554931545493,25.2925081303884
314,26.13796654062918,26.12499092544664,26.127989640962994,26.074686947302382,25.47433299148753,25.29424803478088
316,26.139457946282903,26.126664971632238,26.129609513617595,26.07647573310993,25.475100003812997,25.295978201805667
318,26.140928622174727,26.128315469266624,26.13120669606252,26.078239838495676,25.475856126986685,25.297698593648704
320,26.142378845553992,26.129942793477255,26.13278155166671,26.079979593611995,25.476601554844763,25.299409180473788
322,26.14380896724998,26.131547278856203,26.13433438933356,26.08169547371591,25.477336443388083,25.30110999648997
324,26.145219247001307,26.13312928410079,26.13586555468197,26.08338781155652,25.478060985164632,25.302801018201592
326,26.146609950399295,26.134689153958277,26.137375376367515,26.085056966695845,25.47877536548043,25.304482236084084
328,26.147981404136374,26.13622719659969,26.138864146907792,26.086703312669272,25.479479685262447,25.306153666238345
330,26.149333930406726,26.13774374382632,26.140332183013072,26.088327219805308,25.480174072849707,25.307815313033473
332,26.150667804046122,26.139239146295665,26.14177981876304,26.08992905633005,25.480858715990678,25.309467167536525
334,26.151983317566362,26.140713731118524,26.143207367578214,26.09150916923153,25.481533761101616,25.311109231873218
336,26.153280746168832,26.142167776888357,26.144615104365414,26.093067807713,25.48219930943452,25.312741522027693
338,26.154560391064308,26.143601635097923,26.146003361899318,26.094605367902375,25.48285553010129,25.314364033160757
340,26.155822544275054,26.145015631485705,26.147372452509956,26.096122194020097,25.48350256823909,25.31597676778989
342,26.157067429257893,26.146410027315994,26.14872263275896,26.09761852924231,25.484140566791837,25.317579743968906
344,26.15829532715685,26.147785138097845,26.150054206128914,26.09909470175893,25.484769670549383,25.31917296668081
346,26.159506525587915,26.149141285426538,26.151367481366435,26.100551049296598,25.485390024508263,25.320756439441254
348,26.160701268989385,26.15047875192448,26.152662731478188,26.101987854643824,25.486001764429545,25.32233017673701
350,26.161879762550768,26.15179778533826,26.1539401967745,26.103405353578466,25.486605015032808,25.32389420342605
352,26.163042296846072,26.153098709287235,26.155200188696256,26.104803884148566,25.48719992505829,25.325448521803594
354,26.164189129544013,26.154381818151194,26.156442991272172,26.10618374498921,25.487786633989288,25.326993142859408
356,26.165320429108817,26.15564731665728,26.15766880066377,26.107545150617796,25.488365218271213,25.3285280999242
358,26.166436468418453,26.156895514470705,26.15887791588085,26.1088884140118,25.488935828135197,25.330053400179338
360,26.167537491297765,26.158126692057692,26.160070607316072,26.11021382075188,25.489498593280757,25.331569058082152
362,26.168623702785283,26.159341085485664,26.161247101540937,26.111521617731853,25.4900536197851,25.333075097806102
364,26.169695306318374,26.160538928973494,26.162407623302272,26.1128120502421,25.49060101276092,25.33457154392596
366,26.1707525492738,26.16172050745905,26.163552447425616,26.114085407564573,25.491140903787766,25.33605841000923
368,26.171795655152835,26.16288607795815,26.164681821230772,26.115341954144185,25.49167341099752,25.33753571582912
370,26.172824804502454,26.16403584409312,26.165795939982274,26.116581901622737,25.492198636441174,25.33900349427546
372,26.173840223166906,26.165170065792324,26.166895053839255,26.117805517325394,25.49271669912747,25.340461764406257
374,26.174842117967557,26.166288979337594,26.16797938990686,26.119013045192276,25.493227710943927,25.34191055108812
376,26.175830686043525,26.167392809224737,26.169049164405976,26.12020471760917,25.493731775429467,25.34334988071356
378,26.17680612339069,26.168481778455714,26.170104591923575,26.121380765454944,25.49422899707912,25.344779780442934
380,26.177768625068836,26.16955610878796,26.17114588563726,26.12254141834495,25.494719481567074,25.3462002781867
382,26.178718383043304,26.17061601922984,26.172173256327994,26.123686902180737,25.495203330611673,25.3476114019756
384,26.179655592510528,26.17166173592699,26.173186922023376,26.12481744677774,25.495680643118988,25.34901317770715
386,26.180580436527123,26.17269346622294,26.174187082205947,26.12593326717439,25.496151517265787,25.35040563605554
388,26.18149309826441,26.173711419340577,26.175173938376986,26.127034578534165,25.49661604883937,25.35178880696236
390,26.182393757836905,26.174715801028867,26.176147688732556,26.128121592287982,25.497074331666056,25.353162721062688
392,26.183282592301396,26.175706813561362,26.177108528163842,26.129194516133737,25.497526457613333,25.354527409684863
394,26.184159775658202,26.17668465573837,26.1780566482567,26.130253554037324,25.49797251658771,25.35588290485117
396,26.185025476882686,26.177649519865838,26.178992233835572,26.131298906940913,25.4984126032503,25.35722923998884
398,26.185879861373735,26.17860159397884,26.17991546550587,26.132330772241914,25.49884681207385,25.35856644940685
400,26.18672309486368,26.179541067841853,26.180826526529074,26.13334934238145,25.499275223999632,25.35989456688054
402,26.18755533821337,26.180468124960214,26.181725593672184,26.13435480672257,25.499697924198983,25.36121362753505
404,26.1883767491326,26.181382945220605,26.18261284023248,26.135347350929976,25.500114996205355,25.36252366722357
406,26.189187482179193,26.182285704891058,26.183488436036157,26.136327156969003,25.500526521914423,25.363824722526886
408,26.18998769800106,26.183176588438016,26.18435255868775,26.13729441595268,25.50093258593421,25.365116826938163
410,26.19077756954499,26.18405579646884,26.185205401128712,26.13824933677182,25.501333278509662,25.36640000830124
412,26.191557231196896,26.18492348068736,26.186047109727554,26.13919207539908,25.501728671576245,25.367674309803704
414,26.192326830383138,26.1857798098859,26.186877847091694,26.140122806615693,25.50211884305446,25.368939768676626
416,26.1930865118905,26.186624949892405,26.187697772981608,26.141041702216,25.50250386946783,25.37019642266779
418,26.19383641786652,26.187459063570543,26.1885070443098,26.141948931007676,25.50288382594357,25.371444310040886
420,26.194576689810162,26.188282312461922,26.18930581665046,26.14284465979057,25.50325878756331,25.37268346842501
422,26.195307478675034,26.189094865117056,26.19009425189148,26.143729058321753,25.503628836225914,25.37391392897183
424,26.196028912545046,26.1898968704391,26.190872493748486,26.144602283428128,25.503994038693634,25.375135735047877
426,26.196741125329197,26.190688481348218,26.191640689502776,26.145464493111206,25.504354466080542,25.376348925640343
428,26.19744424850802,26.191469847973565,26.192398983747296,26.14631584248849,25.504710188247202,25.377553540131714
430,26.198138411131993,26.1922411176526,26.19314751838664,26.147156483794163,25.505061273799413,25.378749618298855
432,26.198823739822444,26.19300243493302,26.193886432637612,26.147986566379416,25.505407790088213,25.37993720031392
434,26.199500378939717,26.19375396214201,26.19461588287203,26.148806260835784,25.505749809904444,25.381116326538574
436,26.20016844175558,26.194495829584582,26.19533599457651,26.149615700591482,25.506087395272914,25.382287038020593
438,26.200828050390612,26.19522817627734,26.19604690164516,26.150415029680914,25.506420610707153,25.383449376088095
440,26.201479324819672,26.195951138736575,26.196748735564427,26.15120438959542,25.50674951956063,25.384603382461194
442,26.2021223828512,26.1966648509553,26.197441625390127,26.151983919256452,25.507074184019928,25.385749099251996
444,26.202757340126084,26.197369444401886,26.1981256977478,26.152753755015567,25.507394665103618,25.386886568964826
446,26.203384321153237,26.19806506211836,26.198801090819927,26.153514049151397,25.50771102490529,25.38801582495745
448,26.204003435266316,26.19875182800689,26.199467923872078,26.154264929570274,25.508023321708777,25.38913691222325
450,26.204614791965298,26.19942986642633,26.20012631669607,26.15500652551856,25.50833161310362,25.390249874130575
452,26.205218500258695,26.20009930135376,26.200776388778934,26.15573896648351,25.50863595585355,25.39135475299082
454,26.20581466716459,26.20076025446741,26.201418257400917,26.15646237967775,25.50893640559019,25.392451591355155
456,26.206403397709266,26.201412845146763,26.202052037634246,26.15717689003867,25.509233016813653,25.393540432014504
458,26.206984806054095,26.20205720433006,26.20267785572827,26.157882629335234,25.509525853599882,25.39462131230647
460,26.20755899510999,26.20269344912441,26.203295824587087,26.158579719483043,25.509814969982983,25.39569427454643
462,26.208126062628423,26.203321690392556,26.20390605109668,26.159268277530543,25.510100415815998,25.39675936291127
464,26.208686108246127,26.20394204152609,26.20450864459923,26.15994842142328,25.510382243551305,25.397816619833463
466,26.209239229833713,26.204554613899916,26.20510371250083,26.16062026701701,25.510660504727355,25.398866087870545
468,26.20978552349669,26.205159516869514,26.205691360271715,26.161283928076898,25.510935249966963,25.399907809704416
470,26.21032508357399,26.205756857773224,26.20627169144592,26.16193951627764,25.511206528979244,25.40094182814147
472,26.21085800263944,26.206346741930986,26.206844807621735,26.16258714120346,25.511474390558362,25.401968186112583
474,26.211384371499832,26.20692927264514,26.207410808461248,26.16322691034901,25.511738882583757,25.402986926673464
476,26.211904302162623,26.207504576757117,26.20796981564257,26.163858955139006,25.51200006426751,25.40399809477327
478,26.212417871245123,26.208072741671515,26.208521913839775,26.164483366809975,25.512257975976183,25.40500173289564
480,26.21292516519776,26.208633865682998,26.20906719788769,26.165100247650287,25.51251266334674,25.40599788454216
482,26.21342627013695,26.209188046662177,26.20960576217948,26.16570969948117,25.512764171865967,25.406986593449403
484,26.2139212705884,26.209735380655445,26.21013769935331,26.166311822230625,25.513012546198468,25.407967903491965
486,26.214410249485184,26.210275961885202,26.210663100293857,26.16690671393343,25.51325783018757,25.408941858682
488,26.21489328816955,26.210809882749857,26.211182054130916,26.16749447073215,25.51350006685476,25.409908503170243
490,26.215370466391676,26.211337233823144,26.211694648240666,26.16807518687557,25.513739298399457,25.41086788124511
492,26.21584186723493,26.211858109429443,26.212200973561323,26.168648961863425,25.51397556726789,25.411820034192885
494,26.21630759251167,26.212372625068213,26.212701141219043,26.169215922778733,25.514208919490386,25.412764990481435
496,26.21676770118421,26.21288084771703,26.21319521603658,26.169776134963683,25.514439391329404,25.41370280502366
498,26.217222269139427,26.21338286348663,26.21368328107536,26.170329688726895,25.5146670222411,25.41463352106331
500,26.217671370849928,26.21387875686463,26.214165417833954,26.170876672740462,25.514891850897413,25.41555718186936
502,26.21811507937315,26.214368610713734,26.214641706247278,26.171417174040073,25.515113915187783,25.41647383073706
504,26.218553466351807,26.214852506273303,26.21511222468672,26.171951278024324,25.515333252218,25.417383510985758
506,26.218986602013786,26.215330523158002,26.215577049960473,26.172479068456312,25.515549898310326,25.418286265960717
508,26.219414555171454,26.215802739359162,26.216036257312965,26.17300062746125,25.51576388900395,25.419182139032444
510,26.21983740859872,26.216269248906826,26.21648993748562,26.1735160522,25.515975269772355,25.420071168921197
512,26.220255245442274,26.216730146262364,26.216938181641297,26.17402544013629,25.516184086552755,25.420953393828256
514,26.22066811579674,26.217185487916197,26.217381044273964,26.174528852791752,25.516390362444497,25.421828861601455
516,26.221076085835705,26.217635348833426,26.21781859772608,26.17502636902151,25.51659413195847,25.422697614793776
518,26.221479220518916,26.218079802584896,26.21825091299951,26.17551806626085,25.516795428962894,25.42355969592228
520,26.221877583591947,26.218518921348448,26.218678059754836,26.176004020526364,25.51699428668138,25.42441514746855
522,26.222271237585744,26.218952775907894,26.219100106312055,26.176484306415603,25.517190737694875,25.42526401187837
524,26.222660243817415,26.219381435653702,26.219517119650334,26.17695899710742,25.51738481394051,25.426106331561698
526,26.223044662389213,26.219804968582764,26.219929165407677,26.177428164360606,25.517576546711837,25.426942148892692
528,26.2234245723418,26.220223465311335,26.220336330987436,26.177891897109305,25.517765978862542,25.427771503976317
530,26.223800032247993,26.22063699211975,26.220738680375973,26.17835026510369,25.517953140943234,25.42859443901574
532,26.224171092391714,26.221045605465008,26.221136268108864,26.1788033301479,25.518138058577108,25.429410996962417
534,26.224537810449704,26.22144937066713,26.221529157248312,26.179251160568867,25.518320761956204,25.430221219778275
536,26.224900243044033,26.221848351840947,26.221917409698506,26.17969382342011,25.518501280725275,25.431025149371806
538,26.22525844574062,26.222242611898253,26.22230108620471,26.18013138448356,25.51867964398167,25.43182282759807
540,26.22561247305049,26.22263221254576,26.22268024635406,26.18056390826831,25.51885588027534,25.432614296258805
542,26.2259623784293,26.223017214286358,26.223054948574315,26.180991458011192,25.51903001760917,25.43339959710255
544,26.22630821427714,26.223397676418642,26.22342525013545,26.181414095676757,25.519202083438643,25.43417877182418
546,26.226650056787605,26.223773687293658,26.223791235906504,26.181831909181653,25.519372120036508,25.434951867808365
